"","ColTer331_1","ColTer331_2","ColTer331_3","JantAD80_1","JantAD80_2","JantAD80_3","PaenAD87_1","PaenAD87_2","PaenAD87_3","SerratiaPRI_1","SerratiaPRI_2","SerratiaPRI_3"
"group","ColTer331","ColTer331","ColTer331","JantAD80","JantAD80","JantAD80","PaenAD87","PaenAD87","PaenAD87","SerratiaPRI","SerratiaPRI","SerratiaPRI"
"189/10","0","506958.188784536","74804.4985146485","217448.718548437","381983.632092673","278222.52186025","430085.27868139","308352.141292409","663611.12188319","411766.624264464","397690.192005157","79412.3377421581"
"197.1/13","434838.82385815","180806.490318884","478977.172745617","1349664.04987621","4280394.13906349","2240589.99102663","7628538.79348938","320617.895213914","1943752.06550978","270242.4735725","3034673.29114827","943725.986302033"
"207.1/79","3052.29086770676","13585.4999616519","142225.370136719","93370.3894727541","0","20430.8628151119","117068.350231898","0","0","23188.6187149219","16180.1919228698","5371.79885282725"
"223.2/80","1698.91014599521","0","0","75442.2816884765","0","0","89585.7258525888","0","9411.92976930737","34428.5909296874","11859.981262207","18657.1833252161"
"237.1/3","90502.5935281103","49584.403941254","172718.169055527","86828.9993159375","12356.0911919817","5709.60121646572","53190.7544065812","68440.2041707105","80785.5897537954","66328.8225527832","18658.1308007901","166830.03506474"
"251.2/70","3564.49717199206","22610.1255316834","5320.29551909119","69940.1417007387","0","0","31721.8517222467","0","23206.5807327231","9948.44334189453","22600.1377019288","9294.20575390623"
"257.2/74","56740.5660947412","45293.3360285685","54939.2580345901","265911.04894485","251068.266086694","188082.449965789","97161.200955","9056.44507392668","0","68810.964849467","57163.7631649217","192041.605202344"
"258.2/71","0","0","0","0","0","0","0","0","0","6716.80681786296","0","12234.4443976831"
"261.1/4","3083559.52900154","1255162.80000387","161499.735042436","3801201.57666818","2378924.543062","2654963.54923961","14944177.5370151","3201257.94223409","3703219.39752409","2252682.81015234","1917420.92284717","1077951.05817083"
"287.1/1","0","4749175.65599936","1186149.84582387","0","0","0","0","0","0","219961.849926758","0","0"
"291.3/90","87390.6303080082","180227.358496428","40404.5242018874","105428.600857422","259261.976788044","100142.174058594","139348.836758092","67748.8396945034","361757.467676926","0","150976.80521875","10445.2282817383"
"299.1/65","487089.001743862","586820.717114258","96576.9446729295","1685529.19189201","1281317.34108511","5123361.91277552","1136756.85460403","898838.544236131","4532018.51152303","1094798.91042112","642578.297859377","128785.695836328"
"300.2/35","63765.956618557","183185.726642843","95931.366707946","194692.69724358","282301.571438283","140867.92994308","249079.174244356","22427.221068837","125559.154116914","59070.760381939","7105.07361130416","113519.783828739"
"300.3/31","636451.010752515","12445157.0364935","69189.6426379687","4792600.21753006","6111593.7530866","2042699.97637742","321011.270056774","419355.874417244","4075586.19966948","1606256.85721279","31478.5928046875","1301438.22210908"
"301.2/91","0","29379.4252643585","4967.03573143343","116578.298302187","0","0","76611.5797922611","0","0","304887.811810826","40594.5396005909","30787.2059501953"
"306.2/1","11661.7196282901","0","207639.031432355","11000.5446837833","122697.368269629","102629.620069922","202500.969354702","62742.1424962858","0","14546.0921484375","3590.1535465417","0"
"309.1/2","576495.2036274","1835735.52931057","7558896.16471592","798102.019116765","2463296.37144181","1114076.3890519","2757069.08293404","2277907.70945327","1227741.29161357","3275027.46219847","216141.819987506","5406941.17105078"
"334.2/41","22337.4184135829","54088.218605347","0","25672.7888847159","34757.645682123","21601.8910389785","27714.0217512101","14599.6628748668","70770.2839037776","9119.60988464356","0","38384.0002658536"
"335.3/72","6808.20862499997","0","10211.2530569235","48907.2906528125","186809.773382682","0","23471.4333443046","6224.02487424016","21897.5264360649","35297.2225761717","36652.0089282195","29845.3517037381"
"338.3/5","20313937.6444594","23256468.6723904","12722972.5362572","10385524.4915441","9002063.55524547","9505982.24371685","58563328.3963134","10411251.239165","12628633.8646497","3086142.17086798","6093877.92066023","6735239.11302803"
"339.3/8","3183555.32058828","94166.4434125","2792476.68904036","3149838.44731901","1829151.28306999","1581796.85471508","3028378.4125","1163094.10508271","2010711.90774468","165942.591058537","1663709.13921875","1087045.71379719"
"353.3/59","47689.9047729075","99203.5757885156","92311.0076527707","21475.0376313761","681846.611334085","221109.509347379","160463.546956208","70826.3462727815","954059.798245013","42608.1053632812","465169.952433805","8354.44750097654"
"379.3/91","1104.98748631693","15729.6957356125","30094.6842454127","76357.7319233782","95115.2336593717","0","70783.9643718799","9407.27910689099","53589.7322799116","161960.513102192","7796.0845639038","0"
"394.3/69","8695.9751801787","0","8159.57624100894","0","12796.4215860795","0","3731.89881893496","7304.86596527696","27096.0800530116","24031.0214536133","5175.78670030517","11480.4773640092"
"397.3/61","70441.8760380689","468363.809522915","1379828.57508914","208463.418222981","1025928.42291669","77243.9604247071","45041.733127892","101552.744054496","512272.924462304","70584.966667969","97045.931643486","5670.88101953124"
"413.3/29","44683.4794103366","1386388.20353681","782188.218961633","81281.0574612068","769633.684277813","5283166.95833926","236483.766228807","12258.7203320889","96791.1123309081","47498.4200326538","8021.55802226616","13381.9695565374"
"419.3/2","584157.402440586","5169239.26620575","1269390.14433577","35655.6097089842","440778.697056603","390489.821373378","1404703.99689923","1625010.77332824","1334203.26208736","359120.292107589","136244.118922236","508058.165881515"
"421.2/2","796448.782719764","15063812.8706596","7085590.88462354","1112769.36905348","2620022.63332761","1644257.74332981","2392619.8300011","3655572.73857467","1582575.55476286","2110721.36298118","275692.80104918","4611723.21566051"
"424.3/74","19080.3784769954","0","793901.512495245","1285995.32790237","605337.650038301","1309119.5165381","2556060.20958385","110136.225889103","2044891.83536248","1338045.88663511","613847.115330558","420331.595630056"
"425.2/58","30948.0526695475","293633.408484891","132309.205074266","55045.2927704472","36770.9692721485","124186.319779713","104162.745535737","27234.4328007811","245191.105225995","531270.164850508","59024.4931966406","35904.7442510491"
"427.3/77","14895.3439725585","46700.2429012939","8057.2221156249","21181.992704544","41333.1653435826","45748.6402305961","26170.3109033457","12188.2159529578","234205.120719636","436684.159510217","0","13119.9818819629"
"435.3/40","8353.99725002199","0","21935.3210977204","20902.9216872454","0","17412.4841252267","0","109146.06208404","0","8535.96187158203","162783.520360248","12259.2062949816"
"441.3/35","36754.004031806","1025942.28505889","998360.502886172","1638540.91774529","800640.483164467","200927.708411672","652006.998298884","25350.2832067578","301410.03740693","1185195.30366692","66021.7641168316","444820.328023607"
"457.4/17","43752.8773193359","0","1307855.02215473","113733.138980791","35725.8931725658","124656.835150868","94669.4141367187","78527.9392073341","493305.253442049","34515.4400265625","0","46110.3896419108"
"463.3/2","621113.959892869","7372110.52398643","4418041.38023159","509300.715783251","236625.857860207","189803.555418972","1203685.25239354","5492306.74301525","1958419.13939589","346154.075816016","138968.642885106","13658.8798231201"
"467.2/100","43950.1697674394","4994.51456447877","6417.2361403238","23989.219069769","96463.5463129623","105822.101981957","2975.78697775943","0","152411.028882782","19803.1849271403","21789.4310833481","6351.36438574219"
"481.3/63","3015.27172407461","0","12876.7876577117","5562.80203078617","43546.6878328123","0","0","28351.6515849022","0","2773.07512490235","84987.8246445313","15319.349670625"
"496.2/79","65688.6601978168","225438.872946724","40552.6023333967","0","63556.0325961808","100249.959420625","22109.174143197","34791.1903164061","97116.0501093751","1457.23098958333","17348.1941747467","0"
"507.3/2","0","7229558.85753878","3780771.88827344","0","0","0","0","0","0","325668.797484654","0","0"
"541.4/72","23316.7280273214","49700.9007389396","125376.969578534","161375.814096485","58011.4528687477","242117.405877799","41871.8775410578","18538.2977236092","130191.121615195","14728.8594076538","694737.317493856","43166.3593154297"
"551.4/2","0","8549113.51167722","3271713.50608031","0","0","0","0","0","0","254819.659551801","0","0"
"552.3/65","76616.8486807739","290527.032617005","886240.355598661","37107.1253987459","461448.264236741","294056.746510863","73108.9972515234","87804.716679533","218516.462415184","6450.52276836689","0","8619.00945256309"
"595.4/3","0","6480994.66121974","2664259.12561219","0","0","0","0","0","0","117985.083398437","0","0"
"632.5/74","861.759263996429","0","0","561212.42754101","0","0","3339.69511334646","0","44861.1354219792","1970003.22285779","890797.959253025","523466.275024729"
"661.6/20","71183.7520834723","159758.781516537","0","479722.679966199","218524.371604501","40556.1612746228","19561.4399646836","0","612689.66904796","514509.029564417","3913423.81744377","2084534.40277607"
"663.5/6","66095426.7494722","73031613.7140579","57048218.8695963","33916717.8199023","45618490.9689552","45174460.2165432","92496252.2471125","46463427.0304401","57873228.5569296","15156050.2713054","36156603.7865423","32633927.4316761"
"664.5/4","0","0","25003481.4549507","43309084.1095283","0","0","36315653.8036038","0","0","6617371.01037817","16244701.2268308","0"
"665.5/4","0","0","5551916.07763572","4364648.73354779","0","0","17796935.4232886","0","0","1499518.22743806","3538399.37370745","0"
"685.4/19","35896182.2881279","38906267.5750961","7419928.32789421","27354396.7213421","241364.642999153","19475956.3027153","35615669.2290783","25425.4265","165281.197198203","1307018.51960273","28342565.3709229","11876139.0529222"
"687.6/14","12121328.5273834","6669644.63232375","6752729.01648254","6785873.34942656","6660017.48185599","6972299.21048336","13994923.4621875","6675809.75164117","11119110.5891403","5521382.86114738","3548127.490375","2849547.82183949"
"697.5/69","27285.9817031484","45819.4016443177","1551600.33468476","1819004.48219607","145031.8527962","143171.052862557","5363073.88489741","146049.900996722","579404.527459747","1548559.6766775","417877.069828654","850142.306141276"
"698.5/83","3768.76369459056","0","597042.445205071","810306.1201023","22263.8081984134","83417.6292583719","1306491.7630792","29212.8001890709","72416.9995147884","244566.437803125","243647.907759468","332224.040907891"
"709.5/45","2761709.03615749","4805131.24190719","19016744.7807315","19060190.4959991","13323859.1927471","6332676.81662351","13815855.5868972","2840841.73481101","14528929.5270926","4348714.12743035","4320123.31823147","2528077.8978753"
"715.6/21","14188241.9038967","9725739.63790774","1493254.02154902","6884413.274","9334143.933109","7282614.56591815","16907646.038346","9285310.24132073","15799056.018108","87078.7622395103","4157432.20790625","2946701.81771129"
"725.5/80","986789.091571751","406565.174215455","19864775.5817895","18563371.4008285","3310248.88694241","6421741.56986281","72227207.9079437","1942016.48003177","11489250.2151932","8194403.66222292","6390437.79875364","5458188.30665954"
"726.5/72","174511.325064465","45547.6025008745","4663215.64915815","4879634.98960357","880147.445191144","1231134.66132165","31468950.1118972","486524.098806512","2484131.15864889","3406277.02783402","1269789.88073237","1781044.53515833"
"752.6/7","0","0","319834.318515625","133538.685408416","0","59591.1016121484","0","674306.021789077","0","171577.893755306","653452.295380519","208517.656621191"
"753.5/74","7090.27561760743","65302.6773216018","12331876.3808324","17775983.5466088","2758725.16891786","4401174.46160705","79664020.6232519","1482170.55336783","7661605.68418157","8359243.25649547","3249771.4754504","184885.736654368"
"754.6/65","235277.946375863","70739.4828249761","61664.564475293","5606499.47646828","1135703.0213558","1841675.01373512","36803768.4572012","692173.383642419","3268897.37128819","4066382.72866264","1414101.22988775","2142074.63209637"
"762.6/1","2281143.47480674","5221340.25106033","4892015.36986031","875900.973892512","2409078.78946486","1467778.05088464","1798052.03301061","1509441.20606313","1509850.85926863","1936436.19217822","240858.028659174","2117818.3845"
"763.6/2","1337680.73697156","1793122.19203166","2694604.53438794","406575.471891031","1399834.94940136","812048.852869792","1210034.04272664","883498.74608461","783061.270891235","1053650.74675017","196921.178934899","3267230.99871753"
"1000.8/6","4410407.53833721","5347957.84924168","3941430.65195594","2041819.02993447","1999731.73100884","2297610.54819571","22486657.4539718","2280636.601823","3271936.69595075","400211.261200749","3363822.21479744","410897.853246222"
"1001.8/23","2759527.20843926","3282943.60996474","2939835.90820956","1326349.51252148","1296523.67409621","1437312.35284783","4392988.08773798","1518865.95192251","1894465.41579991","295175.921636426","2036063.98394681","309330.41510629"
"1131.8/5","0","150137.839304531","466403.704958594","0","4333.53352382205","19958.2681527184","0","9858.42305291537","0","0","0","50282.4912422523"
"1322.7/4","163117.604771692","244575.619959555","34691.1309783384","116309.314017314","194264.646412996","248458.958854868","116301.017886264","42053.4422232422","152666.346585938","0","64184.21532499","0"
"1325.9/4","20223401.4487964","21711931.0696595","17108810.8417804","10388917.0784007","11339269.5539067","11765376.7632916","80389231.48375","8211876.89942151","22617673.6880343","931604.236410435","25778387.087375","1252016.16549297"
"1347.9/1","0","0","0","0","0","0","0","0","0","12998399.9495073","27054677.3256141","0"
"1348.9/1","0","0","0","0","0","0","0","0","0","12312467.7626766","25733144.3501195","0"
"1349.9/2","0","0","0","0","0","0","48274026.9480532","0","0","5503850.57157431","11932230.1654832","0"
"1350.9/1","0","0","0","0","0","0","0","0","0","1766519.34411762","3733651.25886465","0"
